"name","age","dni","source","tags","phone","external_id"
"Elinore Riess","14","66342901365","facebook leads","contactcenter_region2","5 64 5502-1528","11643"
"Nance Welton","20","34198241144","google Forms","actionpending","5 81-7111 2843","55329"
"Cassandry Mureil","80","87875693377","Email response","apply_0_cases11|form_ui34411|contactcenter_region31","9-95 8682 6468","92682"
"Gisele Esmeralda","36","90411401041","facebook leads","special|contactcenter_region3","4 13 4274-9513","55329"
"Illa T. Orelu","51","95759648421","google Forms","possible_buyer26","+54 6 97 4664-9364","15858"
"Shell Idou","23","45691912254","manual-registration","actionpending|remove_of_source|contactcenter_region4","+54 2 79 2274 5904","39476"
"Karla I. Engud","46","23897324127","Google forms","contactcenter_region1|contactondemand","+54 3 12 3500 5234","15092"
"Jennifer T. Costin","77","69828106875","Email RESPONSE","possible_buyer29","+54 7 30 7429 2562","56790"
" Sonny","59","62094536443","Email response","any_applicant|any_applicant","+54 1 73-6529 4104","51715"
"Arabela Ernestine","77","69828106875","Google forms","possible_buyer|remove_of_source","+54 7 30 7429 2562","60377"
"Beverie P.","81","19988966982","Facebook Leads","case1|on_consideration","+54 5 33 5876 29892","81973"
"Cherri Sklar","91","65479258233","facebook leads","source_dependant12|contactondemand|remove_of_source","5-45 5926 8106","91953"
"Carmel Pritchett","58","25690837444","facebok Leads","contactcenter_region4","+54 2 76-2417 5665","95511"
" F. Briscoe","119","52416602737","facebook leads","contactondemand|any_applicant","+54 3-64 2632 28217","32769"
"Lotta Mas","15","36398160827","google form","contactcenter_region4|contactcenter_region4","+54 4 95 5095 7159","79144"
"Trixy Gillian","78","77082238888","Facebook Leads","least_interested|least_interested|least_interested","+54 9 77 6240-2068","77717"
"Sarajane B. Goines","83","51525833523","google Forms","actionable7","3 55 7054 2394","90375"
"Mildred Maryly","96","24697838675","Facebook Leads","case1","+54 6 13-7353 54544","32725"
"Giana G. Rollo","62","83450038143","facebook leads","least_interested|techsource_29","7 67 3198-1232","72790"
"Corine Salsbury","48","58309602939","Email RESPONSE","most_interested|remove_of_source4","1 70 6264 5790","86983"
"Emmalee Merline","75","60272276370","google Forms","source_dependant14|most_interested16","+54 1 24 9041 5457","72117"
"Mathilde Z. Meingolda","1","61468385980","Email response","techsource_29","1 83 6450-8129","43450"
"Lusa Janith","5","97933381661","facebook leads","case1|source_dependant","2 73 5557-15499","13562"
"Chrystel G. Wandie","84","38816751078","Facebook Leads","case117|most_interested|contactondemand1","3 71 7315-1563","67085"
"Martica T. Sacci","59","64241062007","Manual registration","techsource_29|rangeof_action|contactcenter_region2","4 48 1744 6808","52795"
"Franky Linzer","93","49602165736","Email RESPONSE","least_interested|special","5 57 7437 4896","97711"
"Alis T. Alberta","87","88759253738","Facebook Leads","contactcenter_region1|any_applicant11","1 27 4903 9000","76131"
"Tony D. Gillespie","8","76384215495","facebook leads","contactcenter_region2|special|techsource_29","3 62 3447 7255","61632"
"Isis Wilhide","77","69828106875","facebook leads","any_applicant|contactcenter_region430","+54 7 30 7429 2562","87912"
"Raven Letta","76","66450226087","Facebook Leads","apply_0_cases1","9 99-5586-1821","15092"
"Eveline I. Donal","23","57435940169","Email response","any_applicant26|contactcenter_region3|limit","9 56 4227 1312","97456"
"Kaycee Teerell","72","51997812481","Facebook Leads","least_interested30|least_interested","1 31 5166 9385","23343"
"Kevina H. Paloma","94","99517277314","facebook leads","limit13|call_again7|rangeof_action","2 14 4551 9377","80431"
"Fernandina Fablan","113","93012368495","Email response","on_consideration19|any_applicant5","5-93 2121 2264","19831"
"Andee H. Aleece","77","69828106875","facebook leads","remove_of_source|techsource_29","+54 7 30 7429 2562","38148"
"Virgie Pansy","99","38449348321","google Forms","least_interested|never_call|client_only","7 78 1888 2228","88064"
"Nydia Metcalf","55","33088925939","facebook leads","least_interested","6 30 4248 5876","80843"
"Amelia R. Josler","39","34379672230","Google forms","source_dependant","6 92 9335 7696","46709"
"Kimberly D. Wahkuna","32","93858468564","google Forms","contactcenter_region18|limit|techsource_29","8-92 5780 8712","29203"
"Iormina Batista","49","23104637634","google Forms","any_applicant|contactondemand25|remove_of_source13","4-41-8558 2795","13102"
"Erena Melia","116","77262986260","facebook leads","contactondemand","+54 9 50 5707 6721","19831"
"Gaylene R. Cecile","102","17461010187","facebook leads","client_only|contactcenter_region4|client_only","6 37 2633 9292","25625"
"Felicia Fernand","87","98460239193","Google forms","contactcenter_region16|never_call|contactcenter_region1","8 14 8375 6277","68427"
"Arabella Verina","19","782709618120","Google forms","possible_buyer","5 55 1334 8288","56245"
"Merrili D. Blumenfeld","72","17330093446","facebook leads","contactcenter_region3","+54 4 24 7830 8362","31603"
"Pat S. Sib","12","52022149573","Manual registration","actionable","1 60 7612 8658","68850"
"Alejandrina Klingel","118","67110498096","Manual registration","most_interested|any_applicant","3 89-8564-6422","54381"
" Couture","60","93136537663","Google forms","remove_of_source|remove_of_source23","+54 5 66-1054 1008","80800"
"Natalie Dripps","3","92351937840","google Forms","any_applicant|special","9-47 2879-6638","47987"
"Casey T. Dielu","84","89160198815","Email response","treaty15","9-55 7330 4888","82513"
"Stoddard Maurizio","2","55489522756","facebook leads","remove_of_source","5-77 1361 7227","95427"
"Peggie Jackie","77","88837942507","google Forms","possible_buyer|actionpending|contactcenter_region36","8 28 5610 1319","55384"
"Collette R. Nela","51","44998480952","Manual registration","contactondemand|rangeof_action12","5 78 1671 5588","75176"
"Elwira Dugan","36","87178300261","MANUAL REGistration","any_applicant10","4-66-8000 7624","62192"
"Reena Rambort","30","12021466345","facebook leads","possible_buyer|contactondemand|contactcenter_region214","+54 6 90 1229 3955","38416"
"Tony Selby","41","26509823150","Google forms","actionable|client_only14|contactcenter_region322","7 81 4722 8059","49926"
"Leelah Ailey","32","93858468564","google Forms","limit","8-92 5780 8712","71224"
"Juana A. Lynett","32","93858468564","MANUAL REGistration","remove_of_source|techsource_2910|never_call","8-92 5780 8712","31526"
"Kai G. Estus","34","33782640949","Google forms","treaty15|contactcenter_region121|on_consideration","+54 7 60 1510-6816","84130"
"De Alano","112","70388771888","facebook leads","on_consideration|call_again|case1","2 93 7949 2611","96244"
"Phyllys","82","43313287178","Google forms","contactondemand|form_ui344|any_applicant","5 89 2968 1259","18090"
"Willa Lacombe","2","24823486013","Google forms","case1|call_again30|call_again","5 43 9463-83698","56119"
"Gaye R. Canon","67","72384159212","Manual registration","actionable5|most_interested","+54 8-85-9925 2441","83746"
"Wylma Glynda","2","90749363267","Email RESPONSE","limit27|actionpending|on_consideration","3 76 8745-1391","35310"
"Almeria P. Ilyse","30","67559569943","google Forms","contactcenter_region4|treaty","2 93 4276 9770","85394"
"Philis T. Lynnworth","62","28320891706","MANUAL REGistration","actionable","3 76 5991 2611","45943"
" Denbrook","74","65129502244","google Forms","treaty|most_interested","6-51-1023 6355","63880"
"Reba Woodhouse","117","27997906032","MANUAL REGistration","any_applicant|source_dependant4","9 19 4239 4976","59598"
"Katey J. Danit","116","34148032826","Email response","source_dependant|any_applicant","+54 5 97 4118 7097","73179"
"Lizette A. Madra","40","23581090762","MANUAL REGistration","possible_buyer6|on_consideration1|any_applicant5","+54 8 70 3784 3242","61883"
"Eddy M. August","66","20425974716","facebok Leads","techsource_29","4 44-7899-6341","27266"
"Magdalene G. Cedell","54","14685672870","facebook leads","contactcenter_region411|contactcenter_region4","9 44 6453 7812","40198"
"Zarla","73","41998156309","Email RESPONSE","source_dependant17","1 15-1413 5089","47160"
"Filippa M. Curren","1","64444371504","Google forms","contactcenter_region47|form_ui344|on_consideration24","+54 7-68 4320-6603","43894"
"Alis Palumbo","47","51580602300","Email RESPONSE","any_applicant|form_ui344","9 78 1396 6998","25625"
"Maire D. Merat","37","78289997635","Manual registration","most_interested|contactondemand","2 10 5653 24597","14207"
" N. Ellita","105","80100620500","Email response","contactcenter_region3|client_only9|any_applicant26","3 72-3353 5155","19404"
"Cathrine Dennett","121","99771550204","Facebook Leads","source_dependant|call_again10|apply_0_cases3","+54 6 24 5046 7780","46049"
"Esther Gernhard","51","89045218426","facebook leads","contactcenter_region3","+54 2 10 4517-1791","83011"
"Kaye Clapp","109","84439494857","Facebook Leads","form_ui344|techsource_29","8 24 8468 3052","15853"
"Dredi Cate","50","27944256732","Email response","apply_0_cases|most_interested7","1 71 1328 3175","77369"
"Petronilla K. Verneuil","48","80355471135","Facebook Leads","least_interested|contactondemand26|client_only","1 29 1342 8558","43862"
"Celeste Celle","105","20312480442","Google forms","client_only|limit28|actionable","9-21 4077 5685","91236"
"Frankie Emsmus","29","59344134477","facebook leads","form_ui3449|never_call13","4-41 3912 6376","94527"
"Addie K. Erinna","62","87272207223","MANUAL REGistration","apply_0_cases","1-34 9094 4194","30510"
"Orelie Zsazsa","106","50224436151","manual-registration","case1|treaty26|contactcenter_region1","1 77 7454 8859","84491"
" Rodmun","40","22963336808","Email response","least_interested10|any_applicant","4 71 4300-2947","31230"
"Cassey Primaveras","83","88208701764","facebook leads","source_dependant4|contactcenter_region324|any_applicant","1 88-7257 9319","52542"
"Jacinthe H. Minier","7","22632273286","Facebook Leads","never_call30|contactcenter_region2|case130","6-90 4023 4563","84837"
"Murielle C. Aufmann","68","34470482155","Email RESPONSE","special","+54 1 85 8262 2716","56208"
"Minetta O. Zebada","22","44776936396","Email response","actionpending|contactondemand17|actionpending","6 49-7507 3663","72180"
"Allsun K. Haywood","74","48151840325","facebook leads","techsource_29|case120|actionpending3","4-10 4554 6706","95719"
"Seana D. Quartet","89","71226508682","Google forms","contactcenter_region3","2 80 7248 8859","76263"
"Glen Bette-Ann","120","27746585105","facebook leads","contactcenter_region4|any_applicant|case121","9 44-8831 3219","69954"
"Sephira Debbee","84","79153236499","MANUAL REGistration","least_interested|on_consideration|never_call8","+54 4 47 5100 9447","57976"
"Meagan F. Hobbs","45","73053185888","facebook leads","contactondemand|call_again17|any_applicant","4-49 5930 5803","32652"
"Manya Rebe","23","67745039287","facebook leads","special|form_ui3442","5 75-6507 3446","44356"
"Tammy Leese","72","80134533322","Google forms","on_consideration18|rangeof_action5|most_interested","6 25-2633-4882","35510"
"Sheeree Taryne","79","65982589834","facebook leads","remove_of_source|case114","+54 2 62-6117 9327","89319"
"Catha Symer","79","19189598830","Manual registration","never_call20","8 63 7462 5339","76164"
